# Matches MP con score 50-64% — revisar si la imagen es correcta
# Formato: [score] id  nombre_local  →  slug_MarketPaper

[50%] gast-15      BANDEJA HORNO RECTANGULAR 4000ML XU           → bandeja-rectangular-de-cartulina-satinada-n3-21-x-17-x-2
[50%] des-35       KOVAL PLATO GRANDE XU                         → plato-polipapel-blanco-185cm
[50%] des-42       KOVAL VASO TUBOS CRISTAL                      → vaso-plastico-descartable-cristal-transparente-180cc
[50%] des-55       PLATO TERMICO X10U                            → plato-polipapel-blanco-185cm
[50%] des-59       PORTA VASO DOBLE XU                           → vaso-180cc-polipapel-blanco
[50%] des-61       POTE VENECIANA CON TAPA 12OZ DARNEL X10U      → pote-650cc-con-tapa-plastico-descartable
[50%] des-62       POTE VENECIANA CON TAPA 12OZ DARNEL XU        → pote-650cc-con-tapa-plastico-descartable
[50%] des-69       VASO CONICO X500CC X10U                       → vaso-180cc-polipapel-blanco
[60%] des-75       VASOS PLASTICOS DESCARTABLES 50ML X100U       → vaso-plastico-descartable-blanco-300cc
[60%] des-76       VASOS PLASTICOS DESCARTABLES 80ML X100U       → vaso-plastico-descartable-blanco-300cc
[60%] des-78       VASOS POLIPAPEL C/TAPA 12OZ X30U              → vasos-360cc-polipapel-kraft-sin-tapa
[60%] des-79       VASOS POLIPAPEL C/TAPA 8OZ X50U               → vasos-360cc-polipapel-kraft-sin-tapa
[53%] des-80       VASOS TERMICO 120CC X25                       → vaso-240cc-telgopor-termico-blanco
[53%] des-81       VASOS TERMICO 180CC X25                       → vaso-240cc-telgopor-termico-blanco
[53%] des-82       VASOS TERMICO 240CC X25                       → vaso-240cc-telgopor-termico-blanco
[53%] des-83       VASOS TERMICO 300CC X25                       → vaso-240cc-telgopor-termico-blanco
[50%] emb-5        BOBINA AZUL ELEGANTE 20X400 X2U               → bobina-de-papel-madera-60-cm
[50%] emb-6        BOBINA AZUL ELEGANTE 20X400 XU                → bobina-de-papel-madera-60-cm
[50%] emb-7        BOBINA MOVAR 60CM K                           → bobina-de-papel-madera-60-cm
[50%] emb-10       BOBINA MOVECO 40CM K                          → bobina-de-papel-madera-60-cm
[50%] emb-11       BOBINA MURESCO 100MT DORADA                   → bobina-de-papel-madera-60-cm
[50%] emb-12       BOBINA ROJA ELEGANTE 25X400M X2U              → bobina-de-papel-madera-60-cm
[50%] emb-13       BOBINA ROJA ELEGANTE 25X400M XU               → bobina-de-papel-madera-60-cm
[50%] emb-14       BOBINA ROLLO CONTINUO PAPEL X200 MTS          → rollo-bobina-para-limpieza-25cm-x-400mt-d-h
