# Matches con score 50-64% — revisar si la imagen es correcta
# Formato: [score] id  nombre_local  →  slug_TAM

[60%] gast-89      DISPENSER TOALLAS INTERCALADAS                → dispenser-para-toallas-de-mano-intercaladas
[50%] lib-134      FABER RESALTADOR XU                           → lapiz-faber-n-2-negro
[60%] lib-142      FILGO BORRABLE JUMP GO! XU                    → lapicera-roller-filgo-jump-borrable
[60%] lib-143      FILGO BORRABLE ROLLER GEL + REPUESTO          → marcador-roller-gel-filgo-azul
[50%] lib-147      FILGO MAR 040 XU                              → minas-filgo-0-7-mm
[50%] lib-148      FILGO MAR 041 XU                              → minas-filgo-0-7-mm
[50%] lib-149      FILGO MAR 042 XU                              → minas-filgo-0-7-mm
[60%] lib-152      FILGO MARCADOR 058 PIZARRA XU                 → marcador-trabi-450-filgo-058-para-pizarra-azul
[53%] lib-153      FILGO MARCADOR X8 PINCEL                      → marcadores-filgo-x-10-largos-colores
[60%] lib-157      FILGO RESALTADOR FINE XU                      → resaltador-filgo-lighter-fine-fino-celeste
[50%] lib-159      FILGO RESALTADOR XU                           → minas-filgo-0-7-mm
[50%] lib-162      FILGO RETRACTIL ONE XU                        → boligrafo-filgo-retractil-ginza-azul
[52%] lib-165      FILGO TNT MARCADORES ROLLER GLAM X4U          → marcador-roller-gel-filgo-azul
[50%] lib-176      GLASE COMUN XU                                → papel-glase-metal-x-10-unidades
[50%] lib-177      GLASE METALIZADO XU                           → papel-glase-metal-x-10-unidades
[50%] lib-181      GOTITA GEL XU                                 → pegamento-la-gotita-gel-3-grs
[50%] lib-182      GOTITA XU                                     → pegamento-la-gotita-x-2ml
[50%] lib-198      LAMA CARPETA COLOR 3 SOLAPAS XU               → carpeta-e18-clip-lateral-a4-lama
[50%] lib-201      LAMA SEPARADORES X5U A4-OFICIO                → separadores-plasticos-oficio-5-posiciones
[50%] lib-205      LAPIZ NEGRO GOMA MAPED                        → lapiz-faber-n-2-negro
[50%] lib-206      LAPIZ NEGRO MAPED                             → lapiz-faber-n-2-negro
[50%] lib-207      LAPIZ NEGRO NAVY XU                           → lapiz-faber-n-2-negro
[50%] lib-209      LAPIZ PORTA MINA                              → porta-lapiz-alambre-negro-values
[50%] lib-216      LFABER MARCADOR XU                            → marcador-edding-1200-azul
[60%] lib-226      MARCADOR 450 PIZARRA XU TRABI                 → marcador-trabi-450-filgo-058-para-pizarra-azul
[50%] lib-227      MARCADOR 710/711 XU TRABI OFERTA              → marcador-edding-1200-azul
[60%] lib-228      MARCADOR AL AGUA XU TRABI                     → marcador-al-agua-trabi-420-negro-punta-redonda
[50%] lib-230      MARCADOR X10U SIMBAL                          → marcador-edding-1200-azul
[50%] lib-231      MARCADOR X10U TRABI                           → marcador-edding-1200-azul
[50%] lib-232      MARCADOR X6U TRABI                            → marcador-edding-1200-azul
[50%] lib-233      MARCADOR XU TRABI                             → marcador-edding-1200-azul
[50%] lib-234      MINAS CAJA                                    → minas-filgo-0-7-mm
[50%] lib-249      MURESCO SOBRE 30X40 X50U                      → sobre-blanco-19x24-x10-unidades-3890
[50%] lib-255      MYD CARPETA 3 SOLAPAS X100U                   → carpeta-interna-2-solapas-abierta
[50%] lib-256      MYD CARPETA 3 SOLAPAS XU                      → carpeta-interna-2-solapas-abierta
[50%] lib-257      MYD CARPETA CARATULA PREMIUM XU               → carpeta-cartulina-caratula-oficio-color
[50%] lib-258      MYD CARPETA CARATULA X100U                    → carpeta-cartulina-caratula-oficio-color
[50%] lib-259      MYD CARPETA CARATULA XU                       → carpeta-cartulina-caratula-oficio-color
[50%] lib-260      MYD CARPETA CARATULA REFORZADA XU             → carpeta-cartulina-caratula-oficio-color
[50%] lib-263      MYD CARPETA FOLIOS 30 T/DURA XU               → carpeta-plastica-a4-x-10-folios
[50%] lib-264      MYD CARPETA FOLIOS 40 T/DURA XU               → carpeta-plastica-a4-x-10-folios
[50%] lib-273      MYD TACO 9X9 BLANCO                           → taco-notas-9-x-9-color
[50%] lib-274      MYD TACO 9X9 COLOR X400U                      → taco-notas-9-x-9-color
[50%] lib-275      MYD TACO COLOR 9X9 X300U                      → taco-notas-9-x-9-color
[50%] lib-276      MYD TACO MADERA 9X9 X300U                     → taco-notas-9-x-9-color
[50%] lib-310      PELIKAN MARCADOR 710 XU                       → marcador-edding-1200-azul
[50%] lib-311      PELIKAN MARCADOR 711 XU                       → marcador-edding-1200-azul
[50%] lib-329      PORTA TACO METAL XU                           → taco-notas-9-x-9-color
[50%] lib-330      PORTA TACO NEGRO XU                           → taco-notas-9-x-9-color
[50%] lib-338      RECIBO DUPLICADO XU                           → talonario-husares-recibo-duplicado-1825
[60%] lib-341      RESMA PAPEL AUTOR OFICIO 80G XU PROMO         → resma-ledesma-autor-75-grs-oficio
[50%] lib-342      RESMA PAPEL PUNAX A4 75G XU                   → resma-punax-75-grs-ledesma-a4-oferta
[50%] lib-343      RESMA PAPEL PUNAX A4 75G XU PROMO             → resma-punax-75-grs-ledesma-a4-oferta
[50%] lib-344      ROLLER GEL CENTRO 1.0 XU SIMBAL               → marcador-roller-gel-filgo-azul
[50%] lib-345      ROLLER GEL POWER 1MM SIMBAL                   → marcador-roller-gel-filgo-azul
[50%] lib-346      ROLLER GEL TANKPEN 0.7 XU SIMBAL              → marcador-roller-gel-filgo-azul
[50%] lib-369      ROLLOS COCINA 6 DE 200 PAÑOS PANDA            → rollos-de-cocina-sussex-clasico-3-rollos-x-60-panos
[50%] lib-384      SACAPUNTAS MAPED                              → sacapuntas-metalico
[50%] lib-392      SHARPIE MARCADOR XU                           → marcador-edding-1200-azul
[50%] lib-405      SKYCOLOR GOMA LAPIZ XU                        → lapiz-faber-n-2-negro
[50%] lim-17       CIF ANTIGRASA X450ML XU                       → limpiador-cif-antigrasa-repuesto-900ml
[50%] lim-19       DESENGRASANTE FORTE PREMIUM X5 LITROS         → limpiador-desengrasante-emerel-x-5-litros
[50%] lim-24       DETERGENTE 1 CALIDAD 5 LITROS                 → detergente-x-5-litros-acento-gigante
[50%] lim-25       DETERGENTE PREMIUM 5 LITROS                   → detergente-x-5-litros-acento-gigante
[50%] lim-27       DISPENSER JABON/GEL                           → dispenser-para-jabon-liquido-o-alcohol-en-gel-500-cc
[50%] lim-35       ESPONJA MORTIMER XU                           → esponja-doble-cara-mortimer-sed-metal
[50%] lim-39       GUANTES GOMA S/M/XL                           → guantes-de-nitrilo-negro-x-100
[50%] lim-42       HILO ALGODON CHICO 50GRS                      → hilo-algodon-ovillo-x-50-grs
[50%] lim-43       HILO ALGODON 250G XU                          → hilo-algodon-ovillo-x-50-grs
[50%] lim-44       HILO ALGODON 27H X100M                        → hilo-algodon-ovillo-x-50-grs
[50%] lim-45       HILO ALGODON 8/20 MACRAME COLORES X30         → hilo-algodon-ovillo-x-50-grs
[50%] lim-46       HILO ALGODON AMARILLO X250G XU                → hilo-algodon-ovillo-x-50-grs
[50%] lim-47       HILO ALGODON VARIEDAD COLORES X33G            → hilo-algodon-ovillo-x-50-grs
[50%] lim-69       MISTER MUSCULO LIMPIA VIDRIO 450ML XU         → limpia-vidrio-x-5-litros-view
[53%] lim-73       MULTIMAX DESODORANTE P/1 LITRO                → desodorante-procenex-x-5-litros
[60%] lim-80       RAID AEROSOL CUCARACHAS ACCION XU             → insecticida-en-aerosol-raid-mata-cucarachas
[50%] lim-84       REJILLA P/COCHE MISTER TRAPO XU               → trapo-rejilla-media-naranja-okey-oferta
[50%] lim-85       REJILLA P/COCINA MISTER TRAPO XU              → trapo-rejilla-media-naranja-okey-oferta
[60%] lim-91       SUAVIZANTE P/ROPA T/VIVERE X1L                → suavizante-para-ropa-vivere-x-5-litros
[60%] lim-92       SUAVIZANTE P/ROPA X5 LITROS                   → suavizante-para-ropa-vivere-x-5-litros
[50%] lim-94       TRAPO PISO BLANCO GRANDE REFORZADO 60X70 CCLEAN XU → trapo-de-piso-blanco-1-2-naranja-alpargata-okey
[53%] des-63       SACAPUNTAS CONTENEDOR XU SIMBAL               → sacapuntas-con-deposito
[53%] des-75       VASOS PLASTICOS DESCARTABLES 50ML X100U       → vasos-de-plastico-180-cc-x-100-unidades
[53%] des-76       VASOS PLASTICOS DESCARTABLES 80ML X100U       → vasos-de-plastico-180-cc-x-100-unidades
[53%] des-77       VASOS PLASTICOS NEON X25                      → vasos-de-plastico-180-cc-x-100-unidades
[50%] emb-5        BOBINA AZUL ELEGANTE 20X400 X2U               → bobina-de-papel-kraft-de-100-cm-18-kg
[50%] emb-6        BOBINA AZUL ELEGANTE 20X400 XU                → bobina-de-papel-kraft-de-100-cm-18-kg
[50%] emb-7        BOBINA MOVAR 60CM K                           → bobina-de-papel-kraft-de-100-cm-18-kg
[50%] emb-10       BOBINA MOVECO 40CM K                          → bobina-de-papel-kraft-de-100-cm-18-kg
[50%] emb-11       BOBINA MURESCO 100MT DORADA                   → bobina-de-papel-kraft-de-100-cm-18-kg
[50%] emb-12       BOBINA ROJA ELEGANTE 25X400M X2U              → bobina-de-papel-kraft-de-100-cm-18-kg
[50%] emb-13       BOBINA ROJA ELEGANTE 25X400M XU               → bobina-de-papel-kraft-de-100-cm-18-kg
[50%] emb-14       BOBINA ROLLO CONTINUO PAPEL X200 MTS          → rollo-termico-80-mm-x-45-mts-x-10-medoro
[50%] emb-20       CELOFAN HOJA 70X100 XU                        → papel-celofan-color-x-10-unidades-55x90-cm
[50%] emb-69       CINTA PARA FLORES                             → porta-rollo-para-cinta-12x30-y-18x25-898-s
[52%] emb-71       FILGO CINTA CORRECTORA XU                     → corrector-cinta-filgo-line-506-6-mts
[50%] emb-73       GUANTES POLIETILENO X100U                     → guantes-de-nitrilo-negro-x-100
[50%] emb-75       HILO CINTA RECUPERADO X20 METROS              → cinta-metrica-retractil-1-5-metros
[50%] emb-77       KENDRA PORTA CINTA CHICO                      → porta-rollo-para-cinta-12x30-y-18x25-898-s
[50%] emb-78       KRAFT X KG                                    → bobina-de-papel-kraft-de-100-cm-18-kg
[50%] emb-92       PAPEL SULFITO BOBINA X KG                     → bobina-de-papel-kraft-de-100-cm-18-kg
[50%] emb-101      ROLLO FILM 100M OFERTA XU                     → rollo-10-cm-film-strech-resinite
[50%] emb-102      ROLLO FILM 30CM X1000MTS RESIMAX              → rollo-10-cm-film-strech-resinite
[50%] emb-103      ROLLO FILM 38 X300M NARANJA XU                → rollo-10-cm-film-strech-resinite
[50%] emb-104      ROLLO FILM 38CM X1000MTS RESIMAX              → rollo-10-cm-film-strech-resinite
[50%] emb-105      ROLLO FILM 45CM X1000MTS RESIMAX              → rollo-10-cm-film-strech-resinite
[53%] emb-140      SOBRES MANILA 13X19 X100U                     → sobre-manila-13-x-19-x-10-unidades
[53%] emb-141      SOBRES MANILA 14X21 X100U                     → sobre-manila-13-x-19-x-10-unidades
